video_id,index,target,start,end
T0100029,0,walk_away,1,58
T0100029,0,walk_left,58,111
T0100468,0,walk_left,1,148
T0200044,0,walk_left,1,76
T0200044,0,browsing,76,88
T0200044,0,standing,88,177
T0200044,0,grooming,177,418
T0200044,0,standing,418,501
T0200044,0,browsing,501,769
T0200044,0,standing,769,846
T0200044,0,browsing,846,866
T0200044,0,standing,866,917
T0200044,0,grooming,917,1044
T0200044,0,standing,1044,1079
T0200079,1,browsing,1,301
T0200079,1,browsing,301,470
T0200079,1,grooming,470,513
T0200079,1,standing,470,580
T0200079,1,browsing,580,613
T0200079,1,standing,613,645
T0200079,1,browsing,645,675
T0200079,1,standing,675,693
T0200079,1,browsing,693,749
T0200079,1,walk_left,749,783
T0200079,1,browsing,783,1083
T0200079,1,browsing,1083,1338
T0200079,1,standing,1338,1543
T0200079,1,grooming,1543,1619
T0200079,1,standing,1619,1655
T0200397,0,walk_left,1,23
T0200403,0,walk_right,1,9
T0200403,0,walk_right,19,44
T0200420,0,standing,1,13
T0200420,0,browsing,13,24
T0200420,0,standing,24,44
T0200420,0,walk_right,44,96
T0200437,0,walk_left,1,98
T0200474,0,walk_left,1,17
T0200474,0,standing,17,112
T0200474,0,standing,170,246
T0200474,0,standing,170,246
T0200474,0,walk_away,246,371
T0200521,0,walk_right,1,73
T0200521,0,browsing,73,198
T0200521,0,walk_right,198,246
T0200532,0,walk_towards,1,22
T0200532,0,walk_left,22,95
T0200534,0,grooming,1,117
T0200534,0,standing,117,345
T0200534,0,grooming,345,645
T0200534,0,grooming,645,945
T0200534,0,grooming,945,951
T0200534,0,standing,951,966
T0200534,0,standing,1056,1101
T0200537,0,walk_left,304,431
T0200544,0,browsing,1,139
T0200544,0,standing,139,231
T0200544,0,walk_left,231,299
T0200544,0,walk_left,231,299
T0200544,0,browsing,299,410
T0200544,0,walk_left,410,486
T0200544,0,browsing,486,786
T0200544,0,browsing,786,1086
T0200544,0,browsing,1086,1148
T0200544,0,standing,1148,1448
T0200544,0,standing,1448,1576
T0200544,0,grooming,1576,1639
T0200544,0,browsing,1639,1800
T0200545,0,browsing,1,301
T0200545,0,browsing,301,601
T0200545,0,browsing,601,901
T0200545,0,browsing,901,1201
T0200545,0,browsing,1201,1501
T0200545,0,browsing,1501,1800
T0200546,0,walk_right,1,77
T0200546,0,standing,77,377
T0200546,0,standing,377,430
T0200546,0,browsing,430,484
T0200546,0,standing,484,533
T0200546,0,walk_right,533,648
T0200546,0,standing,533,833
T0200546,0,standing,833,899
T0200546,0,browsing,899,1068
T0200546,0,standing,1068,1368
T0200546,0,standing,1368,1668
T0200546,0,standing,1668,1715
T0200546,0,grooming,1715,1800
T0200593,0,grooming,1,189
T0200593,0,standing,189,489
T0200593,0,standing,489,630
T0200593,0,browsing,630,930
T0200593,0,browsing,930,1000
T0200593,0,standing,1000,1300
T0200593,0,standing,1300,1513
T0200593,0,grooming,1513,1604
T0200593,0,standing,1604,1800
T0200594,0,standing,1,301
T0200594,0,standing,301,533
T0200594,0,browsing,533,648
T0200594,0,standing,648,948
T0200594,0,standing,948,1101
T0200594,0,grooming,1101,1401
T0200594,0,grooming,1401,1487
T0200594,0,standing,1487,1537
T0200594,0,grooming,1537,1598
T0200594,0,walk_away,1598,1643
T0200594,0,standing,1643,1738
T0200594,0,browsing,1738,1800
T0200606,0,walk_left,1,35
T0200606,0,standing,35,80
T0200606,0,walk_left,80,96
T0200642,0,walk_left,1,37
T0200705,0,walk_right,1,48
T0200789,0,browsing,1,301
T0200789,0,browsing,301,601
T0200789,0,browsing,601,901
T0200789,0,browsing,901,1201
T0200789,0,browsing,1201,1501
T0200789,0,browsing,1501,1609
T0200789,0,ear_scratching,1609,1800
T0200818,0,browsing,1,301
T0200818,0,browsing,301,601
T0200818,0,browsing,601,745
T0200818,0,ear_scratching,745,1045
T0200818,0,ear_scratching,1045,1060
T0200818,0,standing,1060,1180
T0200818,0,grooming,1180,1480
T0200818,0,grooming,1480,1565
T0200878,0,browsing,1,301
T0200878,0,browsing,301,601
T0200878,0,browsing,601,637
T0200878,0,standing,637,752
T0200878,0,browsing,752,912
T0200878,0,standing,912,1079
T0200882,0,walk_right,31,63
T0200899,0,grooming,1,204
T0200899,0,standing,204,390
T0200899,0,grooming,390,536
T0200899,0,standing,536,689
T0200899,0,browsing,689,968
T0200899,0,standing,968,1012
T0200899,0,browsing,1012,1312
T0200899,0,browsing,1312,1508
T0200899,0,standing,1508,1587
T0200899,0,grooming,1587,1744
T0200899,0,standing,1744,1801
T0200964,0,standing,1,18
T0200964,0,browsing,18,84
T0200964,0,ear_scratching,84,280
T0200964,0,standing,280,316
T0200964,0,walk_right,316,402
T0300013,0,walk_left,1,5
T0300020,0,walk_left,1,155
T0300030,0,walk_right,1,99
T0300046,0,walk_left,1,52
T0300064,0,standing,1,18
T0300064,0,browsing,18,97
T0300064,0,standing,97,360
T0300064,0,walk_right,360,404
T0300078,0,grooming,1,301
T0300078,0,grooming,301,601
T0300078,0,grooming,601,901
T0300078,0,grooming,901,907
T0300078,0,standing,907,943
T0300078,0,grooming,943,1079
T0300079,0,walk_left,1,100
T0300087,0,walk_right,1,24
T0300088,0,browsing,1,64
T0300088,0,walk_right,64,134
T0300088,0,browsing,134,280
T0300088,0,walk_right,280,315
T0300088,0,walk_right,315,615
T0300088,0,walk_right,615,915
T0300088,0,walk_right,915,1079
T0300092,0,walk_away,1,121
T0300092,0,walk_right,121,226
T0300092,0,browsing,226,263
T0300092,0,walk_right,263,305
T0300092,0,browsing,305,374
T0300092,0,walk_right,374,387
T0300094,0,walk_right,1,88
T0300094,0,walk_away,88,136
T0300094,0,standing,136,436
T0300094,0,standing,436,557
T0300094,0,browsing,557,700
T0300103,0,walk_left,1,60
T0300105,0,walk_right,1,46
T2801047,0,standing,1,301
T2801047,0,standing,301,336
T2801047,0,browsing,336,386
T2801047,0,standing,386,558
T2801047,0,walk_towards,558,692
T0100001,0,walk_left,1,71
T0100008,0,walk_left,1,96
T0100126,0,browsing,1,136
T0100136,0,walk_towards,1,6
T0100175,0,walk_left,1,26
T0200045,0,browsing,1,31
T0200045,0,walk_left,231,261
T0200050,0,browsing,1,301
T0200050,0,browsing,301,401
T0200050,0,walk_right,436,516
T0200050,0,browsing,521,661
T0200050,0,walk_right,666,696
T0200050,0,browsing,701,1001
T0200050,0,browsing,1001,1116
T0200050,0,grooming,1121,1226
T0200050,0,standing,1231,1271
T0200050,0,walk_right,1276,1341
T0200050,0,browsing,1346,1646
T0200050,0,browsing,1646,1681
T0200051,0,walk_away,1006,1089
T0200052,0,walk_right,1,11
T0200052,0,browsing,16,66
T0200052,0,walk_right,71,81
T0200052,0,browsing,86,346
T0200052,0,walk_right,351,381
T0200052,0,standing,386,461
T0200052,0,grooming,466,616
T0200052,0,standing,621,721
T0200053,0,standing,1,116
T0200053,0,browsing,116,216
T0200053,0,grooming,216,366
T0200053,0,standing,366,521
T0200053,0,walk_left,521,566
T0200054,0,standing,1,41
T0200055,0,standing,1,16
T0200055,0,walk_right,231,326
T0200055,0,standing,996,1006
T0200056,0,standing,1,51
T0200056,0,browsing,51,351
T0200056,0,browsing,351,456
T0200076,0,browsing,1,56
T0200076,0,browsing,946,1041
T0200076,0,walk_left,1071,1096
T0200076,0,browsing,1096,1216
T0200076,0,standing,1216,1276
T0200076,0,browsing,1276,1576
T0200076,0,browsing,1576,1796
T0200078,0,browsing,1,301
T0200078,0,browsing,301,541
T0200078,0,standing,546,591
T0200078,0,browsing,596,661
T0200078,0,walk_left,666,726
T0200078,0,browsing,731,841
T0200080,0,standing,1,41
T0200080,0,walk_towards,46,101
T0200080,0,standing,106,131
T0200080,0,browsing,136,176
T0200080,0,standing,176,191
T0200080,0,browsing,196,226
T0200080,0,standing,231,266
T0200080,0,browsing,271,361
T0200080,0,standing,366,376
T30R00680,0,walk_left,1,88
T30R00518,0,walk_right,1,108
T30R00511,0,walk_right,867,937
T30L00612,0,walk_right,1,90
T30L00612,0,walk_towards,118,197
T30L00612,0,walk_left,412,460
T30L00612,0,walk_left,775,861
T30L00612,0,standing,861,893
T30L00612,0,walk_left,1455,1553
T30L00608,0,standing,1,37
T30L00608,0,browsing,37,95
T2801149,0,standing,1,301
T2801149,0,standing,301,601
T2801149,0,standing,601,901
T2801149,0,standing,901,1201
T2801149,0,standing,1201,1501
T2801149,0,standing,1501,1723
T2801149,0,walk_left,1723,1800
T2801149,1,walk_away,1,301
T2801149,1,walk_away,301,333
T2801149,1,standing,333,633
T2801149,1,standing,633,882
T2801149,1,grooming,882,947
T2801149,1,ear_scratching,947,1093
T2801149,1,standing,1093,1393
T2801149,1,standing,1393,1447
T2801149,1,browsing,1447,1615
T2801149,1,standing,1615,1800
T2801047,0,standing,1,301
T2801047,0,standing,301,331
T2801047,0,browsing,331,382
T2801047,0,standing,382,618
T2801047,0,walk_right,618,694
T2801047,0,standing,694,721
T2801047,0,browsing,721,885
T2801047,0,standing,885,1031
T2801047,0,browsing,1031,1161
T2801047,0,standing,1161,1461
T2801047,0,standing,1461,1761
T2801047,0,standing,1761,1800
T2801041,0,walk_towards,1,21
T2801010,0,walk_left,1,5
T2800992,0,walk_left,639,667
T2800968,0,walk_left,1,155
T2800968,0,browsing,155,306
T2800968,0,walk_towards,306,429
T2800968,0,walk_right,429,530
T2800966,0,walk_towards,1,35
T2800966,0,walk_right,35,120
T2800919,0,walk_towards,1,106
T2800919,0,walk_right,106,153
T2800871,0,walk_away,126,228
T2800857,0,walk_towards,283,323
T2800857,0,walk_right,323,338
T2800846,0,walk_away,1,28
T2800846,0,standing,28,328
T2800846,0,standing,328,461
T2800846,0,browsing,461,761
T2800846,0,browsing,761,906
T2800824,0,walk_away,1,211
T2800824,0,walk_right,211,267
T2800824,0,browsing,267,567
T2800824,0,browsing,567,794
T2800824,0,walk_away,794,892
T2800824,0,walk_left,892,980
